iter	Passed	Remaining
0	166	165922
1	167	83646
2	168	56121
3	170	42350
4	171	34082
5	172	28641
6	174	24701
7	175	21765
8	176	19461
9	177	17612
10	179	16098
11	180	14836
12	181	13773
13	182	12863
14	183	12069
15	184	11377
16	186	10784
17	187	10243
18	188	9753
19	190	9314
20	191	8918
21	192	8555
22	193	8224
23	194	7922
24	195	7643
25	197	7385
26	198	7146
27	199	6925
28	201	6730
29	202	6538
30	203	6357
31	204	6188
32	205	6029
33	206	5879
34	208	5737
35	209	5604
36	210	5478
37	211	5359
38	212	5245
39	214	5140
40	215	5045
41	216	4946
42	218	4853
43	219	4762
44	220	4676
45	221	4594
46	222	4515
47	223	4440
48	225	4367
49	226	4298
50	227	4231
51	228	4170
52	230	4110
53	231	4050
54	232	3992
55	233	3937
56	234	3883
57	235	3831
58	237	3781
59	238	3733
60	239	3686
61	240	3642
62	241	3598
63	243	3557
64	244	3519
65	245	3479
66	247	3440
67	247	3395
68	248	3358
69	250	3322
70	251	3287
71	252	3253
72	253	3221
73	254	3190
74	256	3159
75	257	3127
76	258	3099
77	259	3072
78	261	3043
79	262	3015
80	263	2987
81	264	2960
82	265	2933
83	266	2908
84	267	2880
85	268	2857
86	269	2830
87	270	2807
88	272	2784
89	274	2776
90	275	2755
91	277	2733
92	278	2712
93	279	2692
94	280	2671
95	281	2652
96	282	2633
97	284	2615
98	285	2596
99	286	2578
100	288	2565
101	289	2546
102	290	2529
103	291	2511
104	292	2494
105	293	2477
106	294	2460
107	296	2444
108	297	2428
109	298	2413
110	299	2397
111	300	2382
112	301	2367
113	304	2363
114	305	2348
115	306	2332
116	307	2319
117	308	2305
118	309	2289
119	310	2276
120	311	2263
121	312	2250
122	313	2234
123	314	2221
124	315	2209
125	316	2197
126	318	2187
127	319	2174
128	320	2162
129	321	2150
130	322	2139
131	323	2128
132	325	2118
133	326	2108
134	327	2098
135	328	2087
136	329	2078
137	330	2067
138	332	2058
139	346	2130
140	347	2119
141	349	2111
142	350	2100
143	351	2090
144	352	2079
145	353	2069
146	354	2059
147	355	2049
148	357	2039
149	358	2029
150	359	2019
151	360	2009
152	361	2000
153	362	1991
154	363	1982
155	364	1973
156	365	1964
157	366	1955
158	368	1946
159	369	1937
160	370	1929
161	371	1920
162	372	1912
163	373	1903
164	374	1895
165	375	1888
166	377	1880
167	378	1872
168	379	1865
169	380	1859
170	382	1852
171	383	1845
172	384	1838
173	385	1831
174	386	1824
175	388	1816
176	389	1809
177	390	1803
178	391	1796
179	392	1788
180	393	1780
181	394	1774
182	395	1767
183	396	1760
184	398	1753
185	399	1746
186	400	1740
187	401	1733
188	402	1726
189	403	1720
190	404	1714
191	405	1708
192	407	1702
193	408	1696
194	410	1692
195	411	1686
196	412	1681
197	413	1675
198	414	1670
199	416	1664
200	417	1658
201	418	1652
202	419	1647
203	420	1641
204	421	1636
205	423	1630
206	424	1625
207	425	1620
208	426	1614
209	427	1609
210	428	1604
211	430	1599
212	431	1594
213	432	1589
214	433	1583
215	434	1578
216	436	1573
217	437	1568
218	438	1563
219	439	1558
220	440	1553
221	441	1548
222	443	1543
223	444	1538
224	445	1533
225	446	1528
226	447	1523
227	448	1518
228	449	1513
229	450	1508
230	451	1503
231	452	1498
232	453	1494
233	455	1489
234	456	1484
235	457	1480
236	458	1475
237	459	1470
238	460	1466
239	461	1461
240	462	1456
241	463	1451
242	464	1447
243	465	1442
244	466	1437
245	467	1433
246	468	1429
247	469	1424
248	470	1420
249	471	1415
250	473	1411
251	474	1407
252	475	1402
253	476	1398
254	477	1394
255	478	1389
256	479	1385
257	480	1381
258	481	1377
259	482	1373
260	483	1369
261	484	1365
262	486	1361
263	487	1357
264	488	1353
265	489	1350
266	490	1346
267	491	1342
268	492	1338
269	493	1334
270	494	1330
271	495	1326
272	496	1322
273	497	1318
274	498	1315
275	500	1311
276	501	1308
277	502	1304
278	503	1300
279	504	1297
280	505	1293
281	506	1290
282	507	1286
283	509	1283
284	510	1279
285	511	1276
286	512	1272
287	513	1269
288	514	1266
289	515	1262
290	516	1259
291	517	1255
292	518	1252
293	520	1248
294	521	1245
295	522	1241
296	523	1238
297	524	1235
298	525	1231
299	526	1228
300	527	1224
301	528	1221
302	529	1218
303	530	1214
304	531	1211
305	532	1208
306	533	1204
307	534	1201
308	535	1198
309	536	1194
310	537	1191
311	538	1188
312	539	1185
313	540	1181
314	541	1178
315	543	1175
316	544	1172
317	545	1169
318	546	1165
319	547	1162
320	548	1159
321	549	1156
322	550	1153
323	551	1150
324	552	1147
325	553	1144
326	554	1141
327	555	1137
328	556	1134
329	557	1131
330	558	1129
331	559	1126
332	560	1123
333	561	1120
334	562	1117
335	563	1114
336	564	1111
337	565	1108
338	566	1105
339	567	1102
340	569	1099
341	570	1096
342	571	1093
343	572	1091
344	573	1088
345	574	1085
346	575	1082
347	576	1079
348	577	1076
349	578	1073
350	579	1070
351	580	1068
352	581	1065
353	582	1062
354	583	1059
355	584	1056
356	585	1054
357	586	1051
358	587	1048
359	588	1046
360	589	1043
361	590	1040
362	591	1038
363	592	1035
364	593	1032
365	594	1029
366	595	1027
367	596	1024
368	597	1022
369	598	1019
370	599	1016
371	600	1014
372	601	1011
373	602	1009
374	603	1006
375	605	1004
376	606	1001
377	607	999
378	608	996
379	609	993
380	610	991
381	611	988
382	612	986
383	613	983
384	614	981
385	615	978
386	616	975
387	617	973
388	618	971
389	619	968
390	620	966
391	621	963
392	622	961
393	623	959
394	624	956
395	625	954
396	626	951
397	627	949
398	628	946
399	629	944
400	630	942
401	631	939
402	632	937
403	633	935
404	634	932
405	635	930
406	637	928
407	638	925
408	639	923
409	640	921
410	641	918
411	642	916
412	643	914
413	644	911
414	645	909
415	646	907
416	647	905
417	648	903
418	649	900
419	650	898
420	651	896
421	652	894
422	653	891
423	654	889
424	655	887
425	656	885
426	657	882
427	658	880
428	659	878
429	660	876
430	661	873
431	663	871
432	664	869
433	665	867
434	666	865
435	667	863
436	668	860
437	669	858
438	670	856
439	671	854
440	672	852
441	673	850
442	674	847
443	675	845
444	676	843
445	677	841
446	678	839
447	679	837
448	680	835
449	681	833
450	682	831
451	683	828
452	684	826
453	685	824
454	686	822
455	687	820
456	688	818
457	689	816
458	690	814
459	691	812
460	692	810
461	694	808
462	695	806
463	696	804
464	697	802
465	698	800
466	699	798
467	700	796
468	701	794
469	702	791
470	703	789
471	704	787
472	705	785
473	706	783
474	707	781
475	708	780
476	709	778
477	710	776
478	711	774
479	712	772
480	713	770
481	714	768
482	715	766
483	716	764
484	717	762
485	718	760
486	719	758
487	720	756
488	721	754
489	723	752
490	724	750
491	725	748
492	726	746
493	727	744
494	728	742
495	729	741
496	730	739
497	731	737
498	732	735
499	733	733
500	734	731
501	735	729
502	736	727
503	737	725
504	738	723
505	739	722
506	740	720
507	741	718
508	742	716
509	743	714
510	744	712
511	745	710
512	746	708
513	747	707
514	748	705
515	749	703
516	750	701
517	751	699
518	753	697
519	754	696
520	755	694
521	756	692
522	757	690
523	758	688
524	759	686
525	760	685
526	761	683
527	762	681
528	763	679
529	764	677
530	765	675
531	766	674
532	767	672
533	768	670
534	769	668
535	770	667
536	771	665
537	772	663
538	773	661
539	774	659
540	775	658
541	776	656
542	777	654
543	778	652
544	779	651
545	780	649
546	781	647
547	783	645
548	784	644
549	785	642
550	786	640
551	787	639
552	788	637
553	789	635
554	790	633
555	791	632
556	792	630
557	793	628
558	794	626
559	795	625
560	796	623
561	797	621
562	798	620
563	799	618
564	800	616
565	801	614
566	802	613
567	804	611
568	805	609
569	806	608
570	807	606
571	808	604
572	809	603
573	810	601
574	811	599
575	812	597
576	813	596
577	814	594
578	815	592
579	816	591
580	817	589
581	818	587
582	819	586
583	820	584
584	821	582
585	822	581
586	823	579
587	824	577
588	825	576
589	826	574
590	827	572
591	828	571
592	829	569
593	830	567
594	831	566
595	832	564
596	833	562
597	834	561
598	836	559
599	837	558
600	838	556
601	839	554
602	840	553
603	841	551
604	842	549
605	843	548
606	844	546
607	845	545
608	846	543
609	847	541
610	848	540
611	849	538
612	850	536
613	851	535
614	852	533
615	853	532
616	854	530
617	855	528
618	856	527
619	857	525
620	858	524
621	863	524
622	866	524
623	867	522
624	868	521
625	870	519
626	870	518
627	871	516
628	872	514
629	874	513
630	875	511
631	876	510
632	877	508
633	878	507
634	879	505
635	880	503
